frame,emotion
dataset/S001/001/frames/0.jpg,7
dataset/S001/001/frames/1.jpg,7
dataset/S001/001/frames/2.jpg,7
dataset/S001/001/frames/3.jpg,7
dataset/S001/001/frames/4.jpg,7
dataset/S001/001/frames/5.jpg,7
dataset/S001/001/frames/6.jpg,7
dataset/S001/001/frames/7.jpg,7
dataset/S001/001/frames/8.jpg,7
dataset/S001/001/frames/9.jpg,7
dataset/S001/001/frames/10.jpg,7
dataset/S001/001/frames/11.jpg,7
dataset/S002/001/frames/0.jpg,2
dataset/S002/001/frames/1.jpg,2
dataset/S002/001/frames/2.jpg,2
dataset/S002/001/frames/3.jpg,2
dataset/S002/001/frames/4.jpg,2
dataset/S002/001/frames/5.jpg,2
dataset/S002/001/frames/6.jpg,2
dataset/S002/001/frames/7.jpg,2
dataset/S002/001/frames/8.jpg,2
dataset/S002/001/frames/9.jpg,2
dataset/S002/001/frames/10.jpg,2
dataset/S002/001/frames/11.jpg,2
dataset/S002/002/frames/0.jpg,5
dataset/S002/002/frames/1.jpg,5
dataset/S002/002/frames/2.jpg,5
dataset/S002/002/frames/3.jpg,5
dataset/S002/002/frames/4.jpg,5
dataset/S002/002/frames/5.jpg,5
dataset/S002/002/frames/6.jpg,5
dataset/S002/002/frames/7.jpg,5
dataset/S002/002/frames/8.jpg,5
dataset/S002/002/frames/9.jpg,5
dataset/S002/002/frames/10.jpg,5
dataset/S002/002/frames/11.jpg,5
dataset/S003/001/frames/0.jpg,5
dataset/S003/001/frames/1.jpg,5
dataset/S003/001/frames/2.jpg,5
dataset/S003/001/frames/3.jpg,5
dataset/S003/001/frames/4.jpg,5
dataset/S003/001/frames/5.jpg,5
dataset/S003/001/frames/6.jpg,5
dataset/S003/001/frames/7.jpg,5
dataset/S003/001/frames/8.jpg,5
dataset/S003/001/frames/9.jpg,5
dataset/S003/001/frames/10.jpg,5
dataset/S003/001/frames/11.jpg,5
dataset/S004/001/frames/0.jpg,5
dataset/S004/001/frames/1.jpg,5
dataset/S004/001/frames/2.jpg,5
dataset/S004/001/frames/3.jpg,5
dataset/S004/001/frames/4.jpg,5
dataset/S004/001/frames/5.jpg,5
dataset/S004/001/frames/6.jpg,5
dataset/S004/001/frames/7.jpg,5
dataset/S004/001/frames/8.jpg,5
dataset/S004/001/frames/9.jpg,5
dataset/S004/001/frames/10.jpg,5
dataset/S004/001/frames/11.jpg,5
dataset/S005/001/frames/0.jpg,0
dataset/S005/001/frames/1.jpg,0
dataset/S005/001/frames/2.jpg,0
dataset/S005/001/frames/3.jpg,0
dataset/S005/001/frames/4.jpg,0
dataset/S005/001/frames/5.jpg,0
dataset/S005/001/frames/6.jpg,0
dataset/S005/001/frames/7.jpg,0
dataset/S005/001/frames/8.jpg,0
dataset/S005/001/frames/9.jpg,0
dataset/S005/001/frames/10.jpg,0
dataset/S005/001/frames/11.jpg,0
dataset/S006/001/frames/0.jpg,0
dataset/S006/001/frames/1.jpg,0
dataset/S006/001/frames/2.jpg,0
dataset/S006/001/frames/3.jpg,0
dataset/S006/001/frames/4.jpg,0
dataset/S006/001/frames/5.jpg,0
dataset/S006/001/frames/6.jpg,0
dataset/S006/001/frames/7.jpg,0
dataset/S006/001/frames/8.jpg,0
dataset/S006/001/frames/9.jpg,0
dataset/S006/001/frames/10.jpg,0
dataset/S006/001/frames/11.jpg,0
dataset/S007/001/frames/0.jpg,2
dataset/S007/001/frames/1.jpg,2
dataset/S007/001/frames/2.jpg,2
dataset/S007/001/frames/3.jpg,2
dataset/S007/001/frames/4.jpg,2
dataset/S007/001/frames/5.jpg,2
dataset/S007/001/frames/6.jpg,2
dataset/S007/001/frames/7.jpg,2
dataset/S007/001/frames/8.jpg,2
dataset/S007/001/frames/9.jpg,2
dataset/S007/001/frames/10.jpg,2
dataset/S007/001/frames/11.jpg,2
dataset/S008/001/frames/0.jpg,5
dataset/S008/001/frames/1.jpg,5
dataset/S008/001/frames/4.jpg,5
dataset/S008/001/frames/5.jpg,5
dataset/S008/001/frames/6.jpg,5
dataset/S008/001/frames/7.jpg,5
dataset/S008/001/frames/8.jpg,5
dataset/S008/001/frames/9.jpg,5
